start_point,end_point,cost,path_nodes
10033394683,10033394710,33.5710535519903,10033394683 10033394677 10033394695 10033394710
10033394683,10556615839,274.10798102076683,10033394683 10033394714 4712548032 10033394679 250857470 5260701924 5260701926 250857466 6082860448 250846418 9221534513 9221534504 9221534505 9221534510 9221534508 9221534509 318903514 1431186172 5091321227 1431186174 5091321241 10556615839
10033394683,10979381512,214.98953500953567,10033394683 10033394714 4712548032 10033394679 250857470 5260701924 5260701926 250857466 6082860448 250846418 9221534513 250857471 6152233507 5088833596 5088833597 5088833598 315731994 315731991 9235768193 10979381512
10033394683,11497417647,912.1527353336115,10033394683 10033394714 4712548032 10033394679 250857470 5260701924 5260701926 250857466 6082860448 250846418 9221534513 9221534504 9221534503 250846414 9221536419 9221765031 1256900706 9221534499 9221534500 9221534501 2030176515 3925026771 315580350 318897246 318900475 3925026772 10650275411 12566186114 12309595240 9251490824 12566186102 3591650061 9251490825 9251490819 9251490818 9251490820 3591650066 318896220 10693176344 250851336 250851337 2480547387 250851345 2025194873 318894441 250848859 11509047380 11509047379 11509047378 250848860 11540154528 2024369620 250848848 2024369622 2024369623 2024369624 3591689988 3591689990 3591689991 3591689992 3591690195 11497413857 11497417644 11497417645 11497417647
10033394683,12566155558,496.79074708241376,10033394683 10033394714 4712548032 10033394679 250857470 5260701924 5260701926 250857466 6082860448 250846418 9221534513 250857471 6152233507 5088833596 5088833597 5088833598 315731994 315731991 9235768193 10979381512 10658458534 1256903860 10556615834 10556615835 12218692352 250851333 4482988393 4482988394 10543781404 4784952594 1422844911 250848886 6143315375 4784952591 318896216 5275953730 5275953729 5271966811 12566155558
10033394683,1314391479,276.94537940410004,10033394683 10033394714 4712548032 10033394679 250857470 5260701924 5260701926 250857466 6082860448 250846418 9221534513 9221534504 9221534503 250846414 9221536419 9221765031 1256900706 9221534499 9221534500 9221765032 2030176513 9222353851 1314391479
10033394683,1351410897,716.0525703098053,10033394683 10033394714 4712548032 10033394679 250857470 5260701924 5260701926 250857466 6082860448 250846418 9221534513 9221534504 9221534503 250846414 9221536419 9221765031 1256900706 9221534499 9221534500 9221765032 2030176513 9222353851 1314391479 3920898667 9222353849 4286673844 1314428549 1314428562 250851340 123627958 250851346 250850876 321611187 9197128343 250850867 9194016305 321611181 3920367197 4583894688 250848843 1382098362 315614404 3920367198 297537370 1351410897
10033394683,1377649981,380.7271363161546,10033394683 10033394677 10033394695 10033394710 10033394696 10033394709 10033394697 10033394712 10033394682 4712487701 10033394681 250846393 10033394680 6070909074 1343143735 6070909075 250846392 1343143768 6070909076 6070909072 6070909077 144808546 6152233512 250846398 5091321280 5091321279 6142262099 123627965 5591133188 250850829 6142240737 1785813504 1377649981
10033394683,1382098366,744.5619176180552,10033394683 10033394714 4712548032 10033394679 250857470 5260701924 5260701926 250857466 6082860448 250846418 9221534513 9221534504 9221534503 250846414 9221536419 9221765031 1256900706 9221534499 9221534500 9221534501 2030176515 3925026771 315580350 318897246 10650275425 10650275408 3591650062 10693176343 250848873 318896217 250848865 250848864 250848863 250848862 7837854666 11506847856 11506847857 11506847858 11506847859 250848850 1382098366
10033394683,1785220738,678.4976919150104,10033394683 10033394714 4712548032 10033394679 250857470 5260701924 5260701926 250857466 6082860448 250846418 9221534513 9221534504 9221534503 250846414 9221536419 9221765031 1256900706 9221534499 9221534500 9221765032 2030176513 9222353851 1314391479 3920898667 9222353849 4286673844 1314428549 1314428562 250851340 123627958 250851346 250850876 321611187 9194016306 5091321222 5091320220 5091321221 9194016307 250848856 11509047393 11509047392 1785219440 11509047391 250848857 11509047390 11509047389 1785220738
